                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.68581,                0.51807,                0.97566,                0.93458,                0.96356,                0.99346,                0.72165,                 1.0198,                0.60142,                 1.1883,             0.00058175,             0.00058175,             0.00058175
                    110,                0.74185,                 0.5364,                 0.9968,                0.97246,                0.95879,                  0.991,                  0.734,                0.97574,                0.59706,                 1.1698,             0.00057556,             0.00057556,             0.00057556
                    111,                0.71208,                0.50287,                0.99414,                0.96496,                0.97917,                0.98846,                0.73396,                0.93152,                0.59288,                 1.1418,             0.00056938,             0.00056938,             0.00056938
                    112,                 0.7342,                0.54372,                  0.996,                0.95539,                0.97917,                0.98792,                0.74625,                0.93443,                0.53786,                 1.1278,             0.00056319,             0.00056319,             0.00056319
                    113,                0.77211,                0.54026,                0.98557,                0.96661,                 0.9779,                0.99346,                0.73758,                0.95218,                0.53842,                 1.1437,               0.000557,               0.000557,               0.000557
                    114,                0.80726,                 0.5573,                0.98687,                0.94546,                0.97917,                0.97585,                0.73082,                0.96133,                0.54446,                 1.1419,             0.00055081,             0.00055081,             0.00055081
                    115,                0.76175,                0.54458,                 1.0054,                0.92482,                0.97917,                0.97617,                0.73979,                0.97556,                0.58285,                 1.1418,             0.00054463,             0.00054463,             0.00054463
                    116,                0.75219,                0.51694,                0.97662,                0.92705,                0.95833,                0.97909,                0.71945,                 1.0052,                0.59482,                 1.1784,             0.00053844,             0.00053844,             0.00053844
                    117,                0.73728,                0.50219,                0.98402,                0.93051,                0.95833,                0.98214,                0.72017,                0.99794,                  0.589,                 1.1869,             0.00053225,             0.00053225,             0.00053225
                    118,                0.76565,                0.54763,                 1.0122,                0.93566,                0.96938,                0.99192,                0.70553,                 1.0329,                0.57024,                 1.2176,             0.00052606,             0.00052606,             0.00052606
                    119,                0.75172,                0.48407,                 1.0114,                0.95662,                0.97917,                0.99346,                 0.7175,                  1.039,                0.55214,                 1.2048,             0.00051988,             0.00051988,             0.00051988
                    120,                0.74653,                0.50403,                0.96703,                0.97408,                0.98016,                  0.995,                  0.716,                   1.05,                 0.5497,                 1.2123,             0.00051369,             0.00051369,             0.00051369
                    121,                0.70898,                0.50501,                0.98722,                0.97326,                0.97694,                  0.995,                0.69284,                 1.0759,                0.57297,                 1.2318,              0.0005075,              0.0005075,              0.0005075
                    122,                0.75072,                 0.5141,                0.98303,                0.94401,                0.97972,                  0.995,                0.68987,                 1.0683,                0.57428,                 1.2357,             0.00050131,             0.00050131,             0.00050131
                    123,                0.73802,                0.51706,                0.98247,                0.98106,                0.96362,                  0.995,                0.68824,                 1.0384,                0.57891,                 1.2156,             0.00049513,             0.00049513,             0.00049513
                    124,                 0.6967,                0.50325,                0.97556,                0.97066,                      1,                  0.995,                0.69537,                  1.038,                0.56705,                 1.2309,             0.00048894,             0.00048894,             0.00048894
                    125,                0.71599,                 0.5051,                0.96849,                0.97416,                      1,                  0.995,                0.69235,                 1.0223,                0.55045,                 1.2346,             0.00048275,             0.00048275,             0.00048275
                    126,                0.71554,                0.51936,                0.96566,                0.97069,                0.99404,                  0.995,                0.71106,                 1.0045,                 0.5329,                 1.2241,             0.00047656,             0.00047656,             0.00047656
                    127,                0.72686,                0.50476,                0.97755,                0.95957,                0.99328,                  0.995,                0.71466,                  1.006,                0.53567,                 1.2258,             0.00047038,             0.00047038,             0.00047038
